t_s,vx,wz
71.235881519,0.206397086381912,-0.00734954932704568
71.245440438,0.205400004982948,-0.00489969924092293
71.255877851,0.205400004982948,-0.00489969924092293
71.265894014,0.207394182682037,-0.00489969924092293
71.275878399,0.205400004982948,-0.00489969924092293
71.285607691,0.205400004982948,0
71.295882375,0.207394182682037,-0.00489969924092293
71.305876261,0.205400004982948,0
71.315879857,0.206397086381912,0.00244984962046146
71.32588039,0.206397086381912,0.00244984962046146
71.335850789,0.204402923583984,0.00244984962046146
71.345612055,0.204402923583984,0.00244984962046146
71.355853002,0.205400004982948,0.00489969924092293
71.365887193,0.204402923583984,0.00244984962046146
71.375883342,0.205400004982948,0.00489969924092293
71.385886359,0.204402923583984,0.00244984962046146
71.395884221,0.203405827283859,0.00489969924092293
71.405851196,0.206397086381912,0.00244984962046146
71.415884489,0.205400004982948,0
71.425854668,0.205400004982948,0.00489969924092293
71.435877703,0.206397086381912,0.00244984962046146
71.445829735,0.206397086381912,0.00244984962046146
71.455881029,0.204402923583984,0.00244984962046146
71.46587775,0.204402923583984,0.00244984962046146
71.475882006,0.204402923583984,-0.00244984962046146
71.485883415,0.205400004982948,0
71.495884103,0.205400004982948,0
71.505883233,0.204402923583984,-0.00244984962046146
71.515852045,0.204402923583984,-0.00244984962046146
71.525896496,0.205400004982948,-0.00489969924092293
71.535877223,0.204402923583984,-0.00244984962046146
71.545886326,0.205400004982948,-0.00489969924092293
71.555880803,0.207394182682037,-0.00489969924092293
71.565876735,0.207394182682037,-0.00489969924092293
71.575851288,0.207394182682037,-0.00489969924092293
71.585886598,0.207394182682037,-0.00489969924092293
71.595855098,0.208391278982162,-0.00734954932704568
71.605852353,0.209388360381126,-0.00489969924092293
71.615891138,0.209388360381126,-0.00489969924092293
71.625877887,0.209388360381126,-0.00489969924092293
71.635884756,0.209388360381126,-0.00489969924092293
71.645891864,0.21038544178009,-0.00244984962046146
71.655878334,0.211382538080215,-0.00489968108013272
71.665893966,0.211382538080215,-0.00489968108013272
71.675882294,0.211382538080215,0
71.685881672,0.212379619479179,-0.00244983145967126
