t_s,vx_filt,a,a_raw
1.900006662,0.196103526969196,0.0249223957594562,-0.049860237659599
1.909987104,0.196284224650768,0.0114383404566136,0.0498997397419391
1.919988656,0.19633208781957,-0.00155756492906475,0.0498082463615483
1.930005504,0.196253044692992,-0.0136804289419602,-0.04994850841834
1.93995114,0.196058992475703,-0.0241228814488054,0
1.950002426,0.195770661314245,-0.0321523300742211,-0.149322202715213
1.959983386,0.195414909090183,-0.0379021903098943,-0.0999853542904373
1.969946975,0.195014719222402,-0.0417380462281554,0.0996133308668158
1.980002571,0.194579347421203,-0.0452623166953913,-0.049741781781331
1.989992423,0.194107415806725,-0.0493531047625185,-0.0999653460497398
1.999951261,0.193594817633758,-0.0534961356595704,0.0498241183669249
2.010004745,0.19303683391415,-0.0580707673759918,-0.0995123046564507
2.01999062,0.192431116678905,-0.0630718220261577,-0.149987863019188
2.029948086,0.191778971059991,-0.0674894075443186,0
2.040014749,0.191079700076104,-0.0723975973413033,-0.0497712689541841
2.049981658,0.190328588581027,-0.0778945835465515,-0.0498774868178833
2.060005658,0.189522516544832,-0.083167594295208,-0.0997147082934153
2.06998049,0.188665333834873,-0.0877662191322765,-0.0998146185799119
2.079984472,0.187769051577305,-0.0906075427697789,-0.0996479103980768
2.089992728,0.186852074124369,-0.0915236157765894,-0.0996159930409395
2.100003122,0.185936872346339,-0.0902699872000802,-0.149567860728483
2.109992072,0.185046733597479,-0.0870606069951183,-0.099947459089816
2.119955233,0.184199829451845,-0.082009436167035,0
2.130005501,0.18340544356942,-0.0765639561161956,-0.099627457285733
2.139971729,0.182667287330501,-0.0709029831328959,-0.0996876315514019
2.150009765,0.181987081576442,-0.0650588595281432,0
2.159999029,0.181364334033073,-0.0594047083693278,0
2.169989577,0.180800186671308,-0.0530716817286846,-0.199372377995167
2.180003433,0.180302666670813,-0.0458897916053124,-0.0498002508171424
2.190011191,0.179881398977246,-0.0382415992044402,0
2.199992397,0.179538256721013,-0.0307020994504969,0
2.210022001,0.179267025098541,-0.0239308506219621,-7.44695308892968e-07
2.220002139,0.179059406574227,-0.0179415394220252,-0.0997129931297678
2.230021177,0.178908209093929,-0.0127690654337412,0
2.240011556,0.178803905019263,-0.00884756173146047,0.0498770857294098
2.250011948,0.178731339513447,-0.00659444584482304,-0.0498846068102595
2.259999313,0.178672096838167,-0.00631895776606114,-0.0498349408061717
2.270019625,0.178604911847487,-0.00844131323660958,0.0996628032871855
2.280008411,0.178503193774367,-0.0133139704769883,0
2.289964643,0.178339364466672,-0.0204549969211714,0
2.300018301,0.178093891536024,-0.0289091673627711,-0.0497763168524604
2.309995884,0.177760277968119,-0.0375292373409082,-0.0997647214581769
2.320006958,0.177343732483345,-0.0451285941631103,0
2.33002686,0.176856308181524,-0.0514266159941823,-0.0498470936914361
2.340010056,0.176315040843805,-0.0557969204526388,-0.149719096948854
