t_s,vx_raw,vx_filt
26.998904679,0.209388360381126,0.209248752671778
27.008905668,0.208391278982162,0.208986247454264
27.018252271,0.209388360381126,0.208715514289484
27.028234258,0.207394182682037,0.208467095240121
27.038897981,0.208391278982162,0.208268392966469
27.048899651,0.207394182682037,0.208140727008407
27.058248732,0.208391278982162,0.208098038868529
27.068905888,0.207394182682037,0.208148126630365
27.078919613,0.208391278982162,0.208293465302339
27.088904183,0.207394182682037,0.208530121348554
27.098893965,0.209388360381126,0.208846038485001
27.108233241,0.208391278982162,0.209221431965132
27.118903591,0.209388360381126,0.209630224237482
27.128905648,0.21038544178009,0.210040289291068
27.13824645,0.211382538080215,0.210417008426486
27.14892396,0.21038544178009,0.210730779319372
27.158242985,0.211382538080215,0.210959905490011
27.168916966,0.21038544178009,0.21108682575185
27.178937731,0.211382538080215,0.211093454160816
27.188210402,0.212379619479179,0.210961322956357
27.198882959,0.21038544178009,0.210678227423146
27.208882354,0.21038544178009,0.210242467293118
27.218188832,0.21038544178009,0.209659626157528
27.228874593,0.209388360381126,0.208941184609497
27.238897988,0.207394182682037,0.208106181659496
27.248202623,0.207394182682037,0.20717775631179
27.258897132,0.206397086381912,0.206178157032021
27.268204772,0.206397086381912,0.205131008161921
27.278723984,0.204402923583984,0.204069020881673
27.288885422,0.201411664485931,0.203036024022127
27.298187338,0.201411664485931,0.202076011690068
27.308877155,0.201411664485931,0.201220258068749
27.31889771,0.199417471885681,0.200486202626242
27.328894746,0.199417471885681,0.199880866328814
27.338178511,0.199417471885681,0.199400486247015
27.34819431,0.199417471885681,0.199032813790595
27.358884273,0.198420405387878,0.198763449854335
27.368900366,0.198420405387878,0.198578501224703
27.378885756,0.198420405387878,0.198462516678571
27.388886585,0.198420405387878,0.19839729012064
27.398183479,0.199417486786842,0.198364506059126
27.408878945,0.198420405387878,0.198351266578381
27.418190437,0.198420405387878,0.198353556959122
27.428200227,0.198420405387878,0.198373932243379
27.438883053,0.198420405387878,0.198417487945766
27.448892468,0.198420405387878,0.198490057314092
27.458188851,0.198420405387878,0.198597228494136
27.46887839,0.198420405387878,0.198742750681199
27.47818102,0.198420405387878,0.198926227929727
27.488894212,0.199417486786842,0.199141363660445
27.498891255,0.198420405387878,0.199376100746038
27.50819982,0.200414568185806,0.19961347091539
27.51888302,0.200414568185806,0.199834717432459
27.528891859,0.200414568185806,0.200026334832283
27.538893436,0.200414568185806,0.200184758236352
